Date,Open,High,Low,Close,Volume
4/21/2021,38.6,39.25,38.5,39,9418500
4/22/2021,38.8,39.25,38.8,39.1,2293400
4/23/2021,39.1,39.1,38,38.8,2854800
4/26/2021,38.5,39.2,38.4,39,6809000
4/27/2021,39,39.6,39,39.35,10080800
4/28/2021,39,40.2,39,39.9,11071200
4/29/2021,40.5,41,40,40.35,10140200
4/30/2021,40.25,40.65,40,40.35,10465400
5/3/2021,40.5,41,40.3,40.5,3331500
5/4/2021,40.55,41,40.45,40.75,9132400
5/5/2021,40.55,40.75,40.45,40.5,4582700
5/6/2021,40.5,40.85,40.3,40.65,10568600
5/7/2021,40.7,40.9,40.65,40.8,15341400
5/10/2021,40.65,41.25,40.65,40.85,3927500
5/11/2021,40.8,40.95,40,40.6,12185800
5/12/2021,40.05,40.55,39.6,40.1,5833200
5/13/2021,39.9,39.9,39,39.4,2321100
5/17/2021,39.4,39.5,38.65,39,24876500
5/18/2021,39,39,38.1,38.35,7811900
5/19/2021,38.3,39,37.8,38.05,20924500
5/20/2021,39,39.95,38.1,38.9,3253700
5/21/2021,39.45,40.1,39.05,39.5,10058400
5/24/2021,40.85,43.45,40.85,41.75,8560800
5/25/2021,42.5,43.1,42.05,42.75,19488900
5/26/2021,42.75,42.8,41.1,41.8,6141500
5/27/2021,41.9,41.9,39.25,40.35,13876200
5/28/2021,40.5,42.2,40,41.85,14150900
5/31/2021,41.8,41.8,40,40.85,1955700
6/2/2021,41.85,41.85,40.3,41.1,5847500
6/3/2021,41.3,41.75,40.5,41,4545100
6/4/2021,41.1,41.1,40.2,40.5,1004200
6/7/2021,40.55,41,40.5,40.55,3101100
6/8/2021,40.6,41.2,40.6,40.95,1140500
6/9/2021,41.05,41.5,41,41,12544200
6/10/2021,41,41.55,41,41.25,6835900
6/11/2021,41.3,41.8,41,41.25,20279400
6/14/2021,41.25,41.7,41.25,41.45,805800
6/15/2021,41.5,42,41.3,41.6,4987800
6/16/2021,41.45,42.2,41.45,41.95,9027100
6/17/2021,41.9,41.95,41.25,41.6,1814900
6/18/2021,41.9,41.95,41.05,41.25,12133300
6/21/2021,41.25,41.4,41,41.3,2453100
6/22/2021,41.5,41.5,41.05,41.3,18738600
6/23/2021,41,41.3,41,41.15,5347200
6/24/2021,41.25,41.25,40.8,40.95,9055800
6/25/2021,41,41.25,40.5,40.75,7035700
6/28/2021,41,41,40.45,40.7,5135400
6/29/2021,40.9,41.75,40.55,40.85,5822600
6/30/2021,41,42,41,41.45,1567300
7/1/2021,41.75,42.45,41.25,42,6616500
7/2/2021,41.25,42,41.2,41.35,10369000
7/5/2021,41.3,41.5,41.25,41.4,3303100
7/6/2021,41.4,41.5,41.2,41.3,8916600
7/7/2021,42,42,41,41.4,6559400
7/8/2021,41.4,41.5,41.05,41.4,2191900
7/9/2021,41.2,41.45,41.2,41.25,4145900
7/12/2021,41.3,41.4,40.65,41.15,1212400
7/13/2021,41,41.5,40.7,41.2,6093200
7/14/2021,41.5,42.4,41.2,41.75,1736900
7/15/2021,42.2,42.95,41.55,42.6,3754200
7/16/2021,42.9,42.9,42.3,42.6,7553700
7/19/2021,42.9,42.9,41.75,42.6,5471700
